index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8382723400357257,0.9588222967309304,0.8945040443781921,19088.0,uniform,1,135,KNeighborsClassifier
1,0.9225615763546798,0.7261729352462195,0.8126708613582122,12895.0,uniform,1,135,KNeighborsClassifier
accuracy,0.8650220429603227,0.8650220429603227,0.8650220429603227,0.8650220429603227,uniform,1,135,KNeighborsClassifier
macro avg,0.8804169581952028,0.842497615988575,0.8535874528682021,31983.0,uniform,1,135,KNeighborsClassifier
weighted avg,0.8722563222241668,0.8650220429603227,0.8615103009819304,31983.0,uniform,1,135,KNeighborsClassifier
0,0.8094522304257482,0.9591890192791283,0.8779821133143118,19088.0,uniform,2,135,KNeighborsClassifier
1,0.9168090559589919,0.6657619232260567,0.7713733770609641,12895.0,uniform,2,135,KNeighborsClassifier
accuracy,0.8408842197417378,0.8408842197417378,0.8408842197417378,0.8408842197417378,uniform,2,135,KNeighborsClassifier
macro avg,0.86313064319237,0.8124754712525925,0.8246777451876379,31983.0,uniform,2,135,KNeighborsClassifier
weighted avg,0.8527366710739418,0.8408842197417378,0.8349992895020704,31983.0,uniform,2,135,KNeighborsClassifier
0,0.8387259395050413,0.9587699077954736,0.8947394152732963,19088.0,distance,1,135,KNeighborsClassifier
1,0.922562235560366,0.7271035284994184,0.8132535345650099,12895.0,distance,1,135,KNeighborsClassifier
accuracy,0.8653659756745771,0.8653659756745771,0.8653659756745771,0.8653659756745771,distance,1,135,KNeighborsClassifier
macro avg,0.8806440875327036,0.842936718147446,0.8539964749191531,31983.0,distance,1,135,KNeighborsClassifier
weighted avg,0.8725273039059234,0.8653659756745771,0.8618856982444576,31983.0,distance,1,135,KNeighborsClassifier
0,0.8096943965326611,0.9591366303436715,0.8781025923883067,19088.0,distance,2,135,KNeighborsClassifier
1,0.9167733674775929,0.6663047692904226,0.7717249741770332,12895.0,distance,2,135,KNeighborsClassifier
accuracy,0.8410718194040584,0.8410718194040584,0.8410718194040584,0.8410718194040584,distance,2,135,KNeighborsClassifier
macro avg,0.863233882005127,0.8127206998170471,0.82491378328267,31983.0,distance,2,135,KNeighborsClassifier
weighted avg,0.8528668109507862,0.8410718194040584,0.8352129514279725,31983.0,distance,2,135,KNeighborsClassifier
0,0.8338637810311903,0.96081307627829,0.8928484494425784,19088.0,uniform,1,140,KNeighborsClassifier
1,0.9251176293923316,0.7166343544009306,0.8076385247334382,12895.0,uniform,1,140,KNeighborsClassifier
accuracy,0.8623643810774474,0.8623643810774474,0.8623643810774474,0.8623643810774474,uniform,1,140,KNeighborsClassifier
macro avg,0.8794907052117609,0.8387237153396103,0.8502434870880082,31983.0,uniform,1,140,KNeighborsClassifier
weighted avg,0.8706557759852883,0.8623643810774474,0.8584932614012951,31983.0,uniform,1,140,KNeighborsClassifier
0,0.8042276993246207,0.9607082984073764,0.875531153019814,19088.0,uniform,2,140,KNeighborsClassifier
1,0.9183095523363468,0.6538193098100039,0.7638159086791086,12895.0,uniform,2,140,KNeighborsClassifier
accuracy,0.8369758934433918,0.8369758934433918,0.8369758934433918,0.8369758934433918,uniform,2,140,KNeighborsClassifier
macro avg,0.8612686258304838,0.8072638041086901,0.8196735308494614,31983.0,uniform,2,140,KNeighborsClassifier
weighted avg,0.8502235563294736,0.8369758934433918,0.8304894722589912,31983.0,uniform,2,140,KNeighborsClassifier
0,0.8392423061046645,0.9586127409891031,0.8949646621505954,19088.0,distance,1,140,KNeighborsClassifier
1,0.9223968565815324,0.7281892206281504,0.8138678223185265,12895.0,distance,1,140,KNeighborsClassifier
accuracy,0.8657099083888316,0.8657099083888316,0.8657099083888316,0.8657099083888316,distance,1,140,KNeighborsClassifier
macro avg,0.8808195813430985,0.8434009808086267,0.8544162422345609,31983.0,distance,1,140,KNeighborsClassifier
weighted avg,0.8727688023182534,0.8657099083888316,0.8622677997663749,31983.0,distance,1,140,KNeighborsClassifier
0,0.8095490950927032,0.9584555741827326,0.8777316669465302,19088.0,distance,2,140,KNeighborsClassifier
1,0.9154944586530265,0.6662272198526561,0.771219534090399,12895.0,distance,2,140,KNeighborsClassifier
accuracy,0.8406340868586436,0.8406340868586436,0.8406340868586436,0.8406340868586436,distance,2,140,KNeighborsClassifier
macro avg,0.8625217768728648,0.8123413970176944,0.8244756005184646,31983.0,distance,2,140,KNeighborsClassifier
weighted avg,0.8522644583516334,0.8406340868586436,0.834787791976083,31983.0,distance,2,140,KNeighborsClassifier
